,name,industry,headquarters,founded,area_served
0,85°c bakery cafe,food and beverage,taipei,2004; 18 years ago (2004),worldwide
1,10.or,smartphones,taipei,2004; 18 years ago (2004),worldwide
2,2u (company),smartphones,"lanham, maryland",2008; 14 years ago (2008),global
3,3i,corporate finance,london,1945; 77 years ago (1945),
4,3m,conglomerate,london,"june 13, 1902; 120 years ago (1902-06-13) in two harbors, minnesota, u.s.[1]",worldwide
5,7-eleven,retail (convenience stores),london,1927 (95 years ago) (1927) (as southland ice company),
6,4f (company),textile,wieliczka,2007; 15 years ago (2007),europe
7,ajinomoto,food biotechnology,"ch??, tokyo",17 june 1917; 105 years ago (1917-06-17) (as s. suzuki & co. ltd.),36 countries
8,abn amro,financial services,amsterdam,"september 21, 1991; 31 years ago (september 21, 1991)",
9,abbott laboratories,health care medical devices pharmaceutical,illinois,"1888; 134 years ago (1888) (as abbott alkaloidal company) in ravenswood, chicago",worldwide
10,abiomed,medical devices,"danvers, massachusetts",1981; 41 years ago (1981),
11,abbvie,biopharmaceutical,"north chicago, illinois",2013; 9 years ago (2013),worldwide (170+ countries)
12,accenture,professional services information technology consulting,dublin,1989; 33 years ago (1989),worldwide
13,anz (bank),banking financial services,collins street,1 october 1970; 52 years ago (1970-10-01),worldwide
14,acer inc.,electronics,collins street,1 august 1976; 46 years ago (1976-08-01),worldwide
15,activision blizzard,video games,collins street,"july 10, 2008; 14 years ago (2008-07-10)",
16,adidas,"textile, footwear",collins street,"july 1924; 98 years ago (1924-07) in herzogenaurach, germany (as gebrüder dassler schuhfabrik) 18 august 1949; 73 years ago (1949-08-18) (as adidas)[1]","worldwide (except north korea, russia, turkmenistan, afghanistan, south sudan, chad and palestine)"
17,aldi,retail,essen,"10 july 1946; 76 years ago (1946-07-10) (split in two parts in 1960, renamed to aldi nord and aldi süd in 1962)[1]",international
18,adient,retail,"plymouth, michigan, u.s.","october 31, 2016; 6 years ago (2016-10-31)[1]",worldwide
19,aditi technologies,it services it consulting,bellevue,1994,
20,aditya birla group,conglomerate,mumbai,1857; 165 years ago (1857)[1],worldwide
21,amd,semiconductors artificial intelligence gpus graphics cards consumer electronics video games computer hardware,mumbai,"may 1, 1969; 53 years ago (1969-05-01)",worldwide
22,aegon n.v.,financial services,mumbai,1983; 39 years ago (1983),worldwide
23,aeon (company),retail,mihama-ku,"1758; 264 years ago (1758) (as shinoharaya, later okadaya) in yokkaichi",asia
24,ahold delhaize,retail wholesaling,zaandam,25 july 2016; 6 years ago (2016-07-25),
25,asics,"sports equipment, textile",zaandam,"september 1, 1949; 73 years ago (september 1, 1949) (as onitsuka tiger) 1977; 45 years ago (1977) (renamed to asics)",worldwide
26,airbus,"aerospace, defence",,18 december 1970; 52 years ago (1970-12-18) (as airbus industrie gie),worldwide
27,akzonobel,chemicals,amsterdam,1994; 28 years ago (1994),worldwide
28,akai,electronics,hong kong,"as akai electric company ltd, tokyo, japan (1946; 76 years ago (1946))",
29,alfa laval,"manufacturing, engineering and service",lund,1883; 139 years ago (1883)[2],
30,all nippon airways,"manufacturing, engineering and service",shiodome city center,27 december 1952; 69 years ago (1952-12-27) (as japan helicopter and aeroplane),
31,alliance global,"manufacturing, engineering and service",taguig,"manila, philippines october 12, 1993; 29 years ago (1993-10-12)",
32,allianz,financial services,munich,5 february 1890; 132 years ago (5 february 1890),worldwide
33,alibaba group,technology company,[2],"28 june 1999; 23 years ago (1999-06-28)[1] hangzhou, zhejiang, china",worldwide
34,almarai,food processing,[2],1977; 45 years ago (1977),
35,alstom,rail transport,saint-ouen-sur-seine,1928; 94 years ago (1928),
36,alphabet inc.,conglomerate,googleplex,"october 2, 2015; 7 years ago (2015-10-02)",worldwide
37,altice (company),telecommunications mass media,googleplex,2001; 21 years ago (2001),worldwide
38,altria,tobacco,reynolds metals company international headquarters,"1985; 37 years ago (1985) (as philip morris companies, inc.)",worldwide
39,amazon (company),e-commerce cloud computing artificial intelligence consumer electronics entertainment digital distribution self-driving cars supermarket,reynolds metals company international headquarters,"july 5, 1994; 28 years ago (1994-07-05) bellevue, washington, u.s.",worldwide
40,amcor,packaging,zurich,1896; 126 years ago (1896),
41,american airlines group,aviation,"fort worth, texas","december 9, 2013; 9 years ago (2013-12-09)",worldwide[2]
42,american international group,financial services,"new york city, new york","december 19, 1919; 103 years ago (1919-12-19)[1] shanghai, china",worldwide
43,andritz ag,industrial processing,"new york city, new york",1852; 170 years ago (1852),
44,aon (company),professional services,london,1982; 40 years ago (1982),worldwide
45,apollo tyres,tyres,gurugram,1972; 50 years ago (1972)[1],
46,apple inc.,consumer electronics software services online services,1 apple park way,"april 1, 1976; 46 years ago (1976-04-01) in los altos, california, u.s.",worldwide
47,grupo arcor,consumer electronics software services online services,1 apple park way,5 july 1951; 71 years ago (1951-07-05),worldwide
48,assicurazioni generali,financial services,1 apple park way,1831; 191 years ago (1831),worldwide
49,aston martin,automotive,gaydon,15 january 1913; 109 years ago (1913-01-15),worldwide
50,asus,computer hardware electronics networking hardware,beitou district,2 april 1989; 33 years ago (1989-04-02),worldwide
51,asus,computer hardware electronics networking hardware,beitou district,2 april 1989; 33 years ago (1989-04-02),worldwide
52,at&t,telecommunications technology,whitacre tower,"october 5, 1983; 39 years ago (1983-10-05)[2]",worldwide
53,atari,telecommunications technology,whitacre tower,"october 5, 1983; 39 years ago (1983-10-05)[2]",
54,avast,computer software,whitacre tower,1988; 34 years ago (1988),worldwide
55,avianca,computer software,registered office:,"december 5, 1919; 103 years ago (1919-12-05) (as scadta)",
56,axa,financial services,paris,1816; 206 years ago (1816)[1],worldwide
57,axiata,telecommunications,paris,12 june 1992; 30 years ago (1992-06-12),
58,axis bank,financial services,maharashtra,3 december 1993; 29 years ago (1993-12-03) as uti bank,
59,bp,oil and gas,london,"14 april 1909 (1909-04-14) (as the anglo-persian oil company) 10 january 1870 (1870-01-10) (as standard oil, which partially broke up into standard oil of ohio, arco, and amoco which all merged into bp) 16 december 1954; 68 years ago (1954-12-16) (as british petroleum)",worldwide
60,baker hughes,petroleum industry,"houston, texas",1907; 115 years ago (1907),
61,ball corporation,"packaging, aerospace","broomfield, colorado",1880; 142 years ago (1880),
62,bacardi,beverage,"hamilton, bermuda",4 february 1862 santiago de cuba,
63,banco bilbao vizcaya argentaria,financial services,"hamilton, bermuda","bilbao, spain may 28, 1857; 165 years ago (1857-05-28)",
64,banco santander,financial services,"hamilton, bermuda",15 may 1857; 165 years ago (1857-05-15),worldwide
65,bandai namco entertainment,video games,"minato-ku, tokyo",31 march 2006; 16 years ago (2006-03-31)[1][2],worldwide
66,bank of india,banking financial services,mumbai,7 september 1906; 116 years ago (1906-09-07),
67,bank of ireland,banking financial services,ballsbridge,5 april 1783; 239 years ago (1783-04-05),ireland united kingdom
68,bank of montreal,financial services,,"montreal bank (23 june 1817; 205 years ago (1817-06-23)) montreal, lower canada bank of montreal (22 july 1822; 200 years ago (1822-07-22))",
69,barclays,banking financial services,,"17 november 1690; 332 years ago (1690-11-17) in the city of london, kingdom of england",
70,barilla (company),food processing,,1877; 145 years ago (1877),worldwide
71,barnes & noble,bookselling,new york city,"1886; 136 years ago (1886) (as arthur hinds & company) in new york city, u.s.",
72,barrick gold,metals and mining,new york city,1983; 39 years ago (1983),
73,basf,chemicals,ludwigshafen,"6 april 1865; 157 years ago (6 april 1865) (as badische anilin- und sodafabrik); mannheim, baden",
74,baskin-robbins,food and beverage,,"1945; 77 years ago (1945) (as burton's ice cream shop) glendale, california, u.s.",worldwide
75,bata corporation,shoemaking retail manufacture of leather and related products,lausanne,21 september 1894; 128 years ago (1894-09-21) in austria-hungary (now the czech republic),worldwide
76,bath & body works,retail,columbus,"1990; 32 years ago (1990) new albany, ohio, u.s.",
77,baidu,internet artificial intelligence cloud computing,columbus,"january 1, 2000; 22 years ago (2000-01-01)",worldwide
78,bayer,pharmaceuticals chemicals biotechnology healthcare,leverkusen,1 august 1863; 159 years ago (1863-08-01)[1],worldwide
79,bd (company),"medical equipment, consulting",leverkusen,"east rutherford, new jersey (1897 (1897))",worldwide
80,beko,major appliances small appliances electronics technology,istanbul,"1955; 67 years ago (1955) in istanbul, turkey",worldwide
81,bertelsmann,mass media,istanbul,1 july 1835; 187 years ago (1835-07-01)[1],worldwide
82,benetton group,fashion,istanbul,"1965; 57 years ago (1965) in ponzano veneto, italy",worldwide
